,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2008,롯데,준플,20,2B,1,,,,,,0,,,,,,,,,,,,,,,,
1,1,1,2013,키움,준플,25,3B,5,5.0,51.0,13.0,5.0,8.0,0,100.0,2.29,,,,,,,,,,,,,,
2,2,2,2014,키움,한국,26,3B,6,6.0,50.2,10.0,2.0,8.0,0,100.0,1.78,,,,,,,,,,,,,,
3,3,3,2014,키움,플옵,26,3B,4,4.0,35.0,6.0,2.0,4.0,0,100.0,1.54,,,,,,,,,,,,,,
4,4,4,2015,키움,준플,27,3B,4,4.0,35.1,11.0,3.0,7.0,1,90.9,2.55,,,,,,,,,,,,,,
5,5,5,2015,키움,와카,27,3B,1,1.0,11.0,3.0,1.0,2.0,0,100.0,2.45,,,,,,,,,,,,,,
6,6,6,2016,키움,준플,28,3B,3,3.0,26.0,4.0,0.0,4.0,0,100.0,1.38,,,,,,,,,,,,,,
7,7,7,2018,키움,플옵,30,3B,5,2.0,22.1,7.0,2.0,5.0,0,100.0,2.82,,,,,,,,,,,,,,
8,8,8,2018,키움,준플,30,3B,4,4.0,36.0,11.0,5.0,4.0,2,81.8,2.25,,,,,,,,,,,,,,
9,9,9,2018,키움,와카,30,3B,1,1.0,9.0,5.0,2.0,3.0,0,100.0,5.0,,,,,,,,,,,,,,
10,10,10,2019,LG,준플,31,3B,4,4.0,35.1,11.0,3.0,8.0,0,100.0,2.8,,,,,,,,,,,,,,
11,11,11,2019,LG,와카,31,3B,1,1.0,9.0,5.0,2.0,3.0,0,100.0,5.0,,,,,,,,,,,,,,
12,12,12,2020,LG,준플,32,3B,2,2.0,17.0,4.0,0.0,4.0,0,100.0,2.12,,,,,,,,,,,,,,
13,13,13,2020,LG,와카,32,3B,1,1.0,13.0,3.0,1.0,2.0,0,100.0,2.08,,,,,,,,,,,,,,
14,14,14,2021,LG,준플,33,3B,3,3.0,25.0,11.0,1.0,8.0,2,81.8,3.24,,,,,,,,,,,,,,
15,15,15,2022,LG,플옵,34,2B,1,1.0,5.0,6.0,3.0,3.0,0,100.0,10.8,,,,,,,,,,,,,,
16,16,16,2023,LG,한국,35,3B,4,0.0,7.0,3.0,1.0,2.0,0,100.0,3.86,,,,,,,,,,,,,,
