,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2014,NC,준플,25,SS,2,0,3.0,1,0,1,0,100.0,3.00,,,,,,,,,,,,,,
1,2017,NC,플옵,28,2B,1,0,3.0,2,1,1,0,100.0,6.00,,,,,,,,,,,,,,
2,2017,NC,준플,28,2B,1,0,1.0,2,2,0,0,100.0,18.00,,,,,,,,,,,,,,
3,2017,NC,준플,28,3B,1,0,2.0,1,1,0,0,100.0,4.50,,,,,,,,,,,,,,
4,2019,NC,와카,30,1B,1,1,7.0,6,5,0,1,83.3,6.43,,,,,,,,,,,,,,
5,2022,LG,플옵,33,2B,1,0,2.0,0,0,0,0,,0.00,,,,,,,,,,,,,,
6,2023,KT,한국,34,1B,1,0,2.0,4,4,0,0,100.0,18.00,,,,,,,,,,,,,,
7,2023,KT,플옵,34,1B,1,0,2.0,2,2,0,0,100.0,9.00,,,,,,,,,,,,,,
8,2023,KT,플옵,34,2B,2,0,3.0,3,1,2,0,100.0,9.00,,,,,,,,,,,,,,
