,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,0,0,2005,LG,19,1B,-0.46,0.42,79,185,185,163,22,31,11,0,3,51,21,1,0,12,6,0,48,3,0,4,0.19,0.265,0.313,0.578,-0.081,39.5,-0.05
1,1,1,2006,LG,20,1B,-0.68,-0.38,48,142,141,130,7,21,2,0,5,38,13,1,3,9,2,0,42,4,1,0,0.162,0.227,0.292,0.519,-0.081,26.8,-1.06
2,2,2,2009,LG,23,1B,-0.02,-0.2,68,213,212,188,28,41,7,0,9,75,25,2,1,20,4,1,70,3,0,1,0.218,0.305,0.399,0.704,-0.051,63.1,-0.22
3,3,3,2010,LG,24,1B,-0.02,-0.61,78,192,187,160,25,30,4,0,7,55,22,5,1,26,2,3,55,5,2,2,0.188,0.305,0.344,0.649,-0.062,60.4,-0.63
4,4,4,2011,LG,25,1B,-0.1,-0.01,15,17,17,16,3,2,1,0,1,6,3,0,0,1,0,0,9,0,0,0,0.125,0.176,0.375,0.551,-0.107,13.5,-0.1
5,5,5,2011,키움,25,1B,2.03,-0.48,51,213,213,185,28,49,10,2,12,99,28,2,0,25,2,0,67,5,0,1,0.265,0.357,0.535,0.892,0.041,139.8,1.55
6,6,6,2012,키움,26,1B,6.97,-0.44,133,560,557,469,76,136,34,0,31,263,105,20,9,73,11,3,111,6,0,7,0.29,0.393,0.561,0.954,0.071,171.1,6.53
7,7,7,2013,키움,27,1B,7.45,-0.67,128,556,554,450,91,143,17,0,37,271,117,10,2,92,8,4,96,7,0,6,0.318,0.437,0.602,1.039,0.08,169.8,6.78
8,8,8,2014,키움,28,1B,5.12,0.55,128,571,570,459,126,139,16,2,52,315,124,8,3,96,12,3,142,13,0,4,0.303,0.433,0.686,1.119,0.24,164.6,5.68
9,9,9,2015,키움,29,1B,7.4,0.54,140,622,617,528,129,181,35,1,53,377,146,10,3,78,12,6,161,10,0,4,0.343,0.436,0.714,1.15,0.254,184.1,7.94
10,10,10,2018,키움,32,1B,6.82,0.18,113,488,481,400,88,138,20,0,43,287,112,0,1,68,17,10,114,9,0,3,0.345,0.457,0.718,1.175,0.266,192.1,7.01
11,11,11,2019,키움,33,1B,5.73,0.6,122,532,528,432,92,121,22,0,33,242,98,0,1,78,13,5,117,7,0,9,0.28,0.398,0.56,0.958,0.195,171.8,6.33
12,12,12,2020,키움,34,1B,1.53,0.17,93,383,382,309,56,69,7,0,21,139,66,0,0,57,9,2,114,8,0,8,0.223,0.352,0.45,0.802,0.143,113.1,1.71
13,13,13,2021,키움,35,1B,0.89,0.03,118,477,475,409,48,93,23,0,20,176,76,0,1,47,14,3,141,9,0,7,0.227,0.323,0.43,0.753,0.125,104.7,0.92
14,14,14,2022,KT,36,1B,3.83,0.68,124,487,485,429,72,118,17,0,35,240,98,5,3,40,12,3,131,7,0,6,0.275,0.349,0.559,0.908,0.176,145.8,4.52
15,15,15,2023,KT,37,1B,1.91,0.75,132,493,493,431,53,122,15,0,18,191,87,2,0,46,8,2,114,9,0,8,0.283,0.357,0.443,0.8,0.144,118.2,2.66
16,16,16,2024,KT,38,1B,-0.31,0.17,44,121,121,101,10,20,2,0,3,31,10,1,0,16,4,0,38,8,0,0,0.198,0.331,0.307,0.638,0.101,72.7,-0.13
17,17,17,2024,삼성,38,1B,0.4,0.13,76,285,285,249,42,61,5,0,20,126,60,3,0,31,3,0,83,5,0,2,0.245,0.333,0.506,0.839,0.149,106.8,0.53
