,Year,Team,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2016,넥센,19,P,17,11,6,3,0,0,2,3,0,0,61.0,49,51,49.45,293,89,11,1,6,23,6,0,42,2,0,4,7.23,7.52,7.30,5.16,1.84,0.07
1,2017,넥센,20,P,25,25,0,0,0,0,11,7,0,0,149.1,74,76,73.95,637,161,24,3,19,34,12,0,126,4,1,5,4.46,4.58,4.46,4.57,1.31,4.17
2,2018,넥센,21,P,23,23,0,1,1,0,13,7,0,0,134.1,59,62,59.45,577,144,28,0,8,35,11,0,101,9,0,3,3.95,4.15,3.98,4.24,1.33,4.69
3,2019,키움,22,P,27,27,0,0,0,0,11,5,0,0,157.1,59,68,65.80,666,165,28,2,5,36,5,0,105,13,0,5,3.38,3.89,3.76,3.33,1.28,4.33
4,2020,키움,23,P,21,21,0,0,0,0,7,6,0,0,110.0,62,68,64.05,478,115,16,1,16,37,7,2,67,4,0,6,5.07,5.56,5.24,5.42,1.38,1.75
5,2021,키움,24,P,28,28,0,0,0,0,9,11,0,0,143.1,73,89,84.75,643,163,21,3,11,53,10,2,93,10,0,3,4.58,5.59,5.32,4.38,1.51,1.68
6,2022,키움,25,P,26,20,6,0,0,0,7,5,0,0,105.2,44,50,46.75,446,93,25,0,5,40,5,0,63,7,0,5,3.75,4.26,3.98,4.18,1.26,2.23
7,2023,키움,26,P,17,17,0,0,0,0,6,4,0,0,102.1,37,38,38.00,422,90,11,0,7,29,5,0,78,4,0,5,3.25,3.34,3.34,3.79,1.16,3.45
8,2023,LG,26,P,9,9,0,0,0,0,3,3,0,0,44.1,33,35,34.65,210,59,6,1,5,17,2,2,40,2,0,1,6.70,7.11,7.03,4.12,1.71,-0.12
9,2024,LG,27,P,24,23,1,0,0,0,9,7,0,0,126.2,60,66,62.20,554,126,20,1,10,57,5,0,103,6,0,5,4.26,4.69,4.42,4.62,1.44,3.30
