,날짜,경기타입,홈경기,상대,승패,결과,GS,IP,R,ER,rRA,TBF,AB,H,2B,3B,HR,BB,IB,HP,SO,NP,WHIP,AVG,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,Int
0,2020-11-04,SP,1,LG,승리, 0:4,0,0.2,0,0,0.00,2,2,0,0,0,0,0,0,0,0,11,1.48,0.272,0.346,0.742,5.54,0.20,0.30,0.010,,,7+일
1,2020-11-05,SP,0,LG,승리, 9:7,0,0.1,1,1,1.70,4,2,1,1,0,0,2,0,0,1,20,1.53,0.275,0.353,0.755,5.68,1.70,-2.22,-0.253,,HD,1일
2,2020-11-12,PO,1,KT,패배, 5:2,0,0.1,0,0,0.00,2,2,1,0,0,0,0,0,0,1,8,1.54,0.277,0.355,0.758,5.64,0.15,0.52,0.003,,,7일
3,2020-11-13,PO,1,KT,승리, 0:2,0,1.0,0,0,0.00,3,2,0,0,0,0,1,0,0,1,15,1.53,0.274,0.354,0.753,5.53,1.52,0.58,0.065,,HD,1일
4,2020-11-17,KS,0,NC,패배, 3:5,0,1.2,1,1,1.00,6,5,1,1,0,0,0,0,0,2,21,1.50,0.272,0.350,0.749,5.53,0.53,-0.12,-0.034,,,4일
5,2020-11-18,KS,0,NC,승리, 5:4,0,1.0,0,0,0.00,4,3,0,0,0,0,1,0,0,1,19,1.49,0.269,0.348,0.742,5.43,0.69,-0.42,0.051,,HD,1일
6,2020-11-20,KS,1,NC,승리, 6:7,0,1.1,0,0,0.00,6,6,2,0,0,0,0,0,0,1,28,1.49,0.270,0.348,0.740,5.31,2.56,0.83,0.220,,SV,2일
7,2020-11-21,KS,1,NC,패배, 3:0,0,0.2,1,1,1.00,4,4,2,1,0,0,0,0,0,0,16,1.51,0.274,0.350,0.748,5.40,0.28,-0.82,-0.039,,,1일
8,2020-11-24,KS,0,NC,패배, 2:4,0,2.0,0,0,0.85,8,6,2,0,0,0,1,0,0,2,32,1.51,0.276,0.352,0.749,5.22,0.44,-0.18,-0.054,,,3일
9,2021-11-05,SP,1,LG,패배, 9:3,0,0.1,3,3,2.50,4,3,2,0,0,0,1,0,0,0,12,1.54,0.246,0.365,0.679,4.44,0.53,-1.88,-0.071,,,7+일
10,2021-11-14,KS,0,KT,패배, 2:4,0,0.2,0,0,0.00,2,2,0,0,0,0,0,0,0,0,6,1.52,0.243,0.362,0.673,4.38,0.07,0.30,0.004,,,7+일
11,2021-11-15,KS,0,KT,패배, 1:6,0,1.2,0,0,0.00,5,5,0,0,0,0,0,0,0,0,15,1.47,0.236,0.353,0.655,4.24,0.07,2.05,0.014,,,1일
12,2021-11-18,KS,1,KT,패배, 8:4,0,0.2,2,2,1.50,4,3,2,1,0,0,0,0,0,0,14,1.49,0.243,0.357,0.671,4.53,0.79,-0.77,-0.047,,,3일
