,statizId,이름,팀,주포지션,투타,생년월일,출신학교,신인지명,활약년도,활약팀
0,10404,장영석,KIA,3B,우투우타,1990년 05월 14일,신도초-성남중-부천고-방송통신대,09 히어로즈 2차 1라운드 3순위,2009년 ~ 2021년,넥센-KIA
1,11260,박준태,키움,CF,우투좌타,1991년 07월 26일,대연초-부산중-개성고-인하대,14 KIA 2차 6라운드 61순위,2014년 ~ 2023년,KIA-키움
2,13094,추재현,롯데,RF,좌투좌타,1999년 02월 22일,성동구-건대부중-신일고,18 넥센 2차 3라운드 28순위,2018년 ~ 2024년,키움-롯데
3,11422,전병우,삼성,3B,우투우타,1992년 10월 24일,동삼초-경남중-개성고-동아대,15 롯데 2차 3라운드 28순위,2015년 ~ 2024년,롯데-키움-삼성
4,11399,차재용,키움,P,좌투좌타,1996년 08월 20일,소래초-동산중-부천고,15 롯데 2차 2라운드 19순위,2015년 ~ 2021년,롯데-키움
5,11108,이흥련,SSG,C,우투우타,1989년 05월 16일,상탑초-매송중-야탑고-홍익대,13 삼성 5라운드 47순위,2013년 ~ 2023년,삼성-두산-SK-SSG
6,11207,김경호,SSG,LF,우투좌타,1995년 07월 31일,희망대초-매송중-야탑고,14 두산 2차 6라운드 59순위,2014년 ~ 2021년,두산-SK-SSG
7,12678,이승진,두산,P,우투우타,1995년 01월 07일,수원신곡초-매송중-야탑고,14 SK 2차 7라운드 73순위,2016년 ~ 2024년,SK-두산
8,12921,권기영,두산,C,우투우타,1999년 02월 04일,축현초-재능중-제물포고,17 SK 2차 3라운드 26순위,2017년 ~ 2018년,SK-두산
9,10894,류지혁,삼성,SS,우투좌타,1994년 01월 13일,청원초-선린중-충암고,12 두산 4라운드 36순위,2012년 ~ 2024년,두산-KIA-삼성
10,10696,홍건희,두산,P,우투우타,1992년 09월 29일,화순초-화순중-화순고,11 KIA 2라운드 9순위,2011년 ~ 2024년,KIA-두산
11,11268,노수광,한화,RF,우투좌타,1990년 08월 06일,유천초-청주중-청주고-건국대,13 한화 육성선수,2014년 ~ 2023년,한화-KIA-SK-한화
12,10609,이태양,한화,P,우투좌타,1990년 07월 03일,여수서초-여수중-효천고,10 한화 5라운드 36순위,2010년 ~ 2024년,한화--SSG-한화
13,11164,장현식,KIA,P,우투우타,1995년 02월 24일,신도초-서울이수중-서울고,13 NC 1라운드 9순위,2013년 ~ 2024년,NC-KIA
14,11244,김태진,키움,CF,우투좌타,1995년 10월 07일,수유초-신일중-신일고,14 NC 2차 4라운드 45순위,2015년 ~ 2024년,NC-KIA-키움
15,11299,문경찬,롯데,P,우투우타,1992년 07월 08일,부천북초-동인천중-인천고-건국대,15 KIA 2차 2라운드 22순위,2015년 ~ 2023년,KIA-NC-롯데
16,11300,박정수,두산,P,우언좌타,1996년 01월 29일,서울청구초-서울이수중-야탑고,15 KIA 2차 7라운드 65순위,2015년 ~ 2024년,KIA-NC-두산
17,11071,이홍구,KT,C,우투우타,1990년 12월 11일,장안초-건대부중-장충고-단국대,13 KIA 2라운드 14순위,2013년 ~ 2021년,KIA-SK-KT
18,10249,오태곤,SSG,SS,우투우타,1991년 11월 18일,쌍문초-신월중-청원고,10 롯데 3라운드 22순위,2010년 ~ 2024년,롯데-KT--SSG
19,11135,윤형준,NC,1B,우투우타,1994년 01월 31일,서림초-무등중-진흥고,13 NC 4라운드 31순위,2013년 ~ 2024년,NC-LG-NC
20,11147,이상호,KT,2B,우투우타,1989년 02월 05일,옥산초-경운중-상원고-영동대,10 롯데 육성선수,2013년 ~ 2023년,NC-LG-KT
21,10840,신본기,KT,SS,우투우타,1989년 03월 21일,감천초-경남중-경남고-동아대,12 롯데 2라운드 14순위,2012년 ~ 2024년,롯데-KT
22,10737,박시영,KT,P,우투우타,1989년 03월 10일,축현초-신흥중-제물포고-영남사이버대,08 롯데 2차 4라운드 31순위,2000년 ~ 2024년,롯데-KT
23,13169,최이준,롯데,P,우투우타,1999년 04월 10일,이수초-대치중-장충고,18 KT 2차 2라운드 11순위,2018년 ~ 2024년,KT-롯데
24,15049,김세민,롯데,2B,우투우타,2003년 06월 14일,중앙초-하슬라중-강릉고,22 롯데 2차 3라운드 28순위,2022년 ~ 2023년,롯데
25,10427,김상수,롯데,P,우투우타,1988년 01월 02일,자이언츠-자양중-신일고,06 삼성 2차 2라운드 15순위,2006년 ~ 2024년,삼성-넥센-SSG-롯데
26,15027,노운현,키움,P,우언우타,2003년 06월 22일,부산북구-센텀중-경남고,22 키움 2차 4라운드 32순위,2022년 ~ 2024년,키움
27,11213,양석환,두산,1B,우투우타,1991년 07월 15일,백운초-신일중-신일고-동국대,14 LG 2차 3라운드 28순위,2015년 ~ 2024년,LG-두산
28,14139,남호,두산,P,좌투좌타,2000년 07월 20일,연현초-수원북중-유신고,19 LG 2차 5라운드 45순위,2019년 ~ 2022년,LG-두산
29,11094,함덕주,LG,P,좌투좌타,1995년 01월 13일,일산초-원주중-원주고,13 두산 5라운드 43순위,2013년 ~ 2024년,두산-LG
30,11387,채원후,NC,P,우투좌타,1995년 07월 11일,광주학강초-광주동성중-광주제일고,15 두산 2차 1라운드 8순위,2015년 ~ 2024년,두산-LG-NC
31,12622,김찬형,SSG,SS,우투우타,1997년 12월 29일,양정초-경남중-경남고,16 NC 2차 6라운드 53순위,2016년 ~ 2024년,NC-SSG
32,10717,정진기,NC,CF,우투좌타,1992년 10월 10일,화순초-화순중-화순고,11 SK 3라운드 23순위,2011년 ~ 2023년,SK-SSG-NC
33,11111,정현,NC,3B,우투우타,1994년 06월 01일,수영초-대천중-부산고,13 삼성 1라운드 8순위,2013년 ~ 2022년,--SSG-NC
34,11206,이성곤,한화,1B,좌투좌타,1992년 03월 25일,성동초-잠신중-경기고-연세대,14 두산 2차 3라운드 32순위,2014년 ~ 2023년,두산-삼성-한화
35,10557,오선진,롯데,3B,우투우타,1989년 07월 07일,화곡초-성남중-성남고,08 한화 2차 4라운드 26순위,2008년 ~ 2024년,한화-삼성-한화-롯데
36,10003,백용환,한화,C,우투우타,1989년 03월 20일,서울영중초-양천중-장충고,08 KIA 2차 5라운드 37순위,2013년 ~ 2022년,KIA-한화
37,10676,강경학,KIA,2B,우투좌타,1992년 08월 11일,대성초-광주동성중-광주동성고,11 한화 2라운드 16순위,2011년 ~ 2022년,한화-KIA
38,10423,강윤구,롯데,P,좌투좌타,1990년 07월 10일,이수초-경원중-장충고,09 히어로즈 1차,2009년 ~ 2022년,우리-NC-롯데
39,15055,조효원,NC,2B,우투우타,1999년 03월 10일,공주중동초-온양중-공주고-원광대,22 NC 2차 4라운드 34순위,2022년 ~ 2022년,NC
40,10855,서건창,KIA,2B,우투좌타,1989년 08월 22일,송정초-충장중-광주제일고,08 LG 신고선수,2008년 ~ 2024년,LG-키움-LG-KIA
41,10533,정찬헌,키움,P,우투우타,1990년 01월 26일,송정동초-충장중-광주제일고,08 LG 2차 1라운드 1순위,2008년 ~ 2024년,LG-키움
42,14601,이강준,키움,P,우투우타,2001년 12월 14일,서당초-설악중-설악고,20 KT 2차 3라운드 22순위,2020년 ~ 2024년,KT-롯데-키움
43,10835,김준태,KT,C,우투좌타,1994년 07월 31일,양정초-개성중-경남고-영남사이버대,12 롯데 육성선수,2013년 ~ 2024년,롯데-KT
44,11397,오윤석,KT,2B,우투우타,1992년 02월 24일,화중초-자양중-경기고-연세대,14 롯데 육성선수,2015년 ~ 2024년,롯데-KT
45,10459,김태군,KIA,C,우투우타,1989년 12월 30일,양정초-대동중-부산고-방송통신대,08 LG 2차 3라운드 17순위,2008년 ~ 2024년,LG-NC-삼성-KIA
46,10720,심창민,NC,P,우언우타,1993년 02월 01일,동삼초-경남중-경남고-대구사이버대,11 삼성 1라운드 4순위,2011년 ~ 2024년,삼성-NC
47,10890,김응민,NC,C,우투우타,1991년 10월 22일,이수초-건대부중-중앙고,10 두산 육성선수,2014년 ~ 2022년,삼성-NC
48,14114,이학주,롯데,SS,우투좌타,1990년 11월 04일,하안북초-홍은중-충암고,19 삼성 2차 1라운드 2순위,2019년 ~ 2024년,롯데
49,13152,최하늘,삼성,P,우언우타,1999년 03월 26일,서울학동초-자양중-경기고,18 롯데 2차 7라운드 63순위,2018년 ~ 2024년,롯데-삼성
50,15498,서현원,삼성,P,우투우타,2004년 02월 28일,석교초-세광중-세광고,"23 삼성 3라운드 23순위 (이학주 ↔ 최하늘, 3RD 지명권 트레이드)",2023년 ~ 2024년,삼성
51,14128,김도현,KIA,P,우투우타,2000년 09월 15일,동대문-잠신중-신일고,19 한화 2차 4라운드 33순위,2019년 ~ 2024년,한화-KIA
52,13003,이민우,한화,P,우투우타,1993년 02월 09일,순천북초-순천이수중-효천고-경성대,15 KIA 1차,2015년 ~ 2024년,KIA-한화
53,12539,이진영,한화,RF,우투우타,1997년 07월 21일,둔촌초-선린중-선린고,16 KIA 2차 6라운드 58순위,2016년 ~ 2024년,KIA-한화
54,10387,박동원,LG,C,우투우타,1990년 04월 07일,양정초-개성중-개성고,09 히어로즈 2차 3라운드 19순위,2009년 ~ 2024년,넥센-KIA-LG
56,15473,김동헌,키움,C,우투우타,2004년 07월 15일,영등포-충암중-충암고,"23 키움 2라운드 12순위 (박동원 ↔ 김태진, 2RD 지명권 트레이드)",2023년 ~ 2024년,키움
57,10707,김민식,SSG,C,우투좌타,1989년 06월 28일,양덕초-마산중-마산고-원광대,12 SK 2라운드 11순위,2015년 ~ 2024년,KIA-SSG
58,11364,김사윤,KIA,P,좌투좌타,1994년 06월 08일,광주화정초-무등중-화순고,13 SK 3라운드 28순위,2013년 ~ 2024년,SK-SSG-KIA
59,12612,임석진,KIA,3B,우투우타,1997년 10월 10일,군산신풍초-서울이수중-서울고,16 SK 2차 1라운드 6순위,2016년 ~ 2024년,SK-SSG-KIA
60,11214,장준원,KT,SS,우투우타,1995년 11월 21일,경운초-김해엔젤스-개성중-경남고,14 LG 2차 2라운드 23순위,2015년 ~ 2024년,LG-KT
61,15489,임정균,LG,P,우투우타,2004년 05월 10일,양정초-대천중-부산고,"23 LG 5라운드 50순위 (장준원, 5RD 지명권 트레이드)",2023년 ~ 2023년,LG
62,13130,이채호,KT,P,우언우타,1998년 11월 23일,김해엔젤스-양산원동중-용마고,18 SK 2차 6라운드 55순위,2018년 ~ 2024년,SK-SSG-KT
63,11321,정성곤,SSG,P,좌투좌타,1996년 07월 10일,역삼초-휘문중-구리인창고,15 KT 2차 2라운드 14순위,2015년 ~ 2024년,KT-SSG
64,12655,류희운,한화,P,우투우타,1995년 06월 19일,남산초-천안북중-북일고,14 KT 신생팀 특별지명,2016년 ~ 2023년,KT-한화
65,12526,이시원,KT,CF,좌투좌타,1996년 07월 24일,본리초-경운중-상원고,16 한화 2차 2라운드 19순위,2016년 ~ 2023년,한화-KT
66,14124,변우혁,KIA,1B,우투우타,2000년 03월 18일,일산초-현도중-북일고,19 한화 1차,2019년 ~ 2024년,한화-KIA
67,10812,한승혁,한화,P,우투좌타,1993년 01월 03일,도신초-강남중-덕수고,11 KIA 1라운드 8순위,2011년 ~ 2024년,KIA-한화
68,14178,장지수,한화,P,우투우타,2000년 05월 25일,사당초-강남중-성남고,19 KIA 2차 2라운드 20순위,2019년 ~ 2024년,KIA-한화
69,12567,주효상,KIA,C,우투좌타,1997년 11월 11일,역북초-강남중-서울고,16 넥센 1차,2016년 ~ 2024년,넥센-KIA
70,16124,이재상,키움,SS,우투우타,2005년 04월 17일,갈산초-성남중-성남고,24 키움 2라운드 16순위,2024년 ~ 2024년,키움
71,10119,이명기,한화,LF,좌투좌타,1987년 12월 26일,서화초-상인천중-인천고,06 SK 2차 8라운드 63순위,2008년 ~ 2024년,SK-KIA-NC-한화
72,12902,이재용,한화,C,우투우타,1999년 02월 28일,구리-자양중-배재고,17 NC 2차 5라운드 48순위,2017년 ~ 2024년,NC-한화
73,14877,조현진,NC,2B,우투좌타,2002년 09월 10일,함안-신월중-마산고,21 한화 2차 6라운드 52순위,2021년 ~ 2024년,한화-NC
74,16058,김세훈,NC,2B,우투우타,2005년 04월 04일,경산-경운중-경북고,24 NC 7라운드 61순위,2024년 ~ 2024년,NC
75,10871,김태훈,삼성,P,우투우타,1992년 03월 02일,남부민초-대신중-부경고,12 넥센 9라운드 79순위,2014년 ~ 2024년,넥센-삼성
76,10180,이원석,키움,3B,우투우타,1986년 10월 21일,광주학강초-광주동성중-광주동성고,05 롯데 2차 2라운드 9순위,2005년 ~ 2024년,롯데-두산-삼성-키움
77,16126,이우현,키움,P,우투우타,2005년 11월 27일,화성-안산중앙중-비봉고,24 키움 3라운드 24순위,2024년 ~ 2024년,키움
78,11311,심재민,롯데,P,좌투우타,1994년 02월 18일,김해엔젤스-개성중-개성고-전남과학대,14 KT 신생팀 특별지명,2014년 ~ 2024년,KT-롯데
79,13151,이호연,KT,2B,우투좌타,1995년 06월 03일,광주수창초-진흥중-광주제일고-성균관대,18 롯데 2차 6라운드 53순위,2018년 ~ 2024년,롯데-KT
80,11148,강진성,SSG,C,우투우타,1993년 10월 19일,가동초-잠신중-경기고,12 NC 4라운드 33순위,2000년 ~ 2024년,NC-두산-SSG
81,13124,김정우,두산,P,우투우타,1999년 05월 15일,소래초-동산중-동산고,18 SK 1차,2018년 ~ 2024년,SK-SSG-두산
85,14187,최승민,LG,LF,우투좌타,1996년 07월 01일,서울학동초-대치중-신일고,15 NC 육성선수,2018년 ~ 2024년,NC-LG
86,11379,최원태,LG,P,우투우타,1997년 01월 07일,인헌초-용산-경원중-서울고,15 넥센 1차,2015년 ~ 2024년,넥센-LG
87,14591,이주형,키움,CF,우투좌타,2001년 04월 02일,해운대-센텀중-경남고,20 LG 2차 2라운드 13순위,2020년 ~ 2024년,LG-키움
88,15485,김동규,키움,P,우투우타,2004년 07월 09일,서울청구초-영남중-성남고,23 LG 2라운드 17순위,2023년 ~ 2024년,LG-키움
89,16122,전준표,키움,P,우투우타,2005년 05월 07일,강동구-잠신중-서울고,24 키움 1라운드 8순위,2024년 ~ 2024년,키움
90,10075,진해수,롯데,P,좌투좌타,1986년 06월 26일,동삼초-경남중-부경고,05 KIA 2차 7라운드 50순위,2005년 ~ 2024년,KIA-SK-LG-롯데
91,10312,이지영,SSG,C,우투우타,1986년 02월 27일,서화초-신흥중-제물포고-경성대,08 삼성 육성선수,2008년 ~ 2024년,삼성-키움-SSG
92,10238,김민성,롯데,3B,우투우타,1988년 12월 17일,고명초-잠신중-덕수정보고-영남사이버대,07 롯데 2차 2라운드 13순위,2007년 ~ 2024년,롯데-키움-LG-롯데
93,12931,김민수,LG,3B,우투우타,1998년 03월 18일,서화초-동산중-제물포고,17 롯데 2차 2라운드 13순위,2017년 ~ 2024년,롯데-LG
94,14590,손호영,롯데,3B,우투우타,1994년 08월 23일,부곡초-평촌중-충훈고-홍익대,20 LG 2차 3라운드 23순위,2020년 ~ 2024년,LG-롯데
95,14816,우강훈,LG,P,우언우타,2002년 10월 03일,희망대초-매송중-야탑고,21 롯데 2차 5라운드 41순위,2021년 ~ 2024년,롯데-LG
96,10470,박병호,삼성,1B,우투우타,1986년 07월 10일,영일초-광명-영남중-성남고,05 LG 1차,2005년 ~ 2024년,LG-넥센-KT-삼성
97,10400,오재일,KT,1B,좌투좌타,1986년 10월 29일,인창초-구리-구리인창중-야탑고,05 현대 2차 3라운드 24순위,2005년 ~ 2024년,현대--두산-삼성-KT
98,14785,김휘집,NC,SS,우투우타,2002년 01월 01일,양목초-대치중-신일고,21 키움 2차 1라운드 9순위,2021년 ~ 2024년,키움-NC
